Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
Scissor Girl's Weed Crisis,0,4.99,,0,0,0,0,26,0,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Cloud,Family Sharing","Action,Adventure,Indie",
Echoes,0,3.99,,0,0,0,0,0,0,"Single-player,Full controller support,Family Sharing",RPG,
A Drop of Hope,0,8.99,,0,0,0,0,13,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure,Indie",
SkyTime,0,0.99,"â€œSi vous aimez les jeux de plateformes, si vous apprÃ©ciez de devoir sauter au dessus du vide, de ne pas chuter mais flotter, si les causes justes mÃ©ritent des actions douteuses, si vous aussi vous voulez pouvoir changer le temps, enfin, si un bon jeu Ã  un trÃ¨s petit prix est un Ã©lÃ©ment qui compte pour vous, alors, allez-y ! Faites vous plaisir, achetez sur la boutique de Steam SkyTime, câ€™est un bon petit jeu indÃ©pendant et vous ne pouvez pas le regretter.â€ -skytime-la-version-pour-steam/",0,0,0,0,24,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing","Action,Casual,Indie",
Outside the Window,0,0.99,,0,0,0,0,8,0,"Single-player,Full controller support,Family Sharing","Casual,Indie,Simulation",
Shores Unknown,0,19.99,,0,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie,RPG,Strategy,Early Access",
[Tongue kissing Specialization] My girlfriend's here for a visit.,0,12.99,,0,0,0,0,0,0,"Single-player,Tracked Controller Support,VR Supported,Family Sharing",Simulation,
Angry Space Bees,0,0.49,,0,0,0,0,40,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Indie",
Arena,0,0,â€œArena is a visually striking hand painted magic-based first person shooter where you fight for your freedom against waves of monsters in a gladiatorial arenaâ€ Alpha Beta Gamer,0,0,0,0,7,0,"Single-player,Steam Achievements,Stats,Steam Leaderboards","Action,Free To Play,Indie",
Bitcoin,0,1.99,,0,0,0,0,0,103,"Single-player,Family Sharing","Casual,Indie,Simulation",
486,0,0.99,"â€œTo be honest, I was like 'what the?' then I was 'omg, I think I'm addicted.' great game!â€ Deevil â€œ486 is a very tough but oddly addictive retro styled permadeath arcade RPGâ€ Alpha Beta Gamer â€œA good retro-like adventure game that represent very well these MS-DOS/Phone BBS-like games made by some obscure developers from the mid 90's with ANSI graphic &amp; 4-D (virtua) tech approach.â€ Nap'n'Gaming",0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Indie,RPG",
Neon Fantasy: Monkeys,0,1.99,,0,0,0,0,100,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Casual,
Guards,0,4.99,"â€œIt was great setting up a team and using their strengths in order to defeat an onslaught of enemiesâ€ Gaming Trend â€œGuardsâ€˜ makes a good case to bring accessible mechanics for anyoneâ€ DarkZero â€œYouâ€™ll play, get killed, be mad, then play again!â€ Revizzles",49,0,0,0,15,249,"Single-player,Steam Achievements,Steam Trading Cards,Stats,Commentary available,Family Sharing","Adventure,Indie,Strategy",
Scourge Of War - Gettysburg,0,44.99,"â€œThe most obvious comparison is with the Total War series, and in my view Gettysburg is greatly superior.â€ Kriegsspiel â€œTruly, this game was written with the Historian in mind. The level of detail is flat-out stunning.â€ Armchair General",0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Family Sharing","Action,Indie,Simulation,Strategy",
Dear Friend,0,9.99,,0,0,0,0,0,0,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Adventure",
Fox Trot,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie",
AntiPodal,0,0,,0,0,0,0,0,0,"Single-player,Full controller support",Action,
Desktop Dungeons,0,14.99,"â€œ... a creative, rewarding and utterly addictive game that will keep you raiding goblin lairs until the small hours.â€ 4.5/5 â€“ USgamer â€œThere are eight puzzles about pushing trolls.â€ 9/10 â€“ Objective Game Reviews â€œ... as well-balanced as Godâ€™s own see-saw, and as unforgiving as the fast food jobsworth faced with someone ordering a breakfast muffin at 12.01â€ Rock, Paper, Shotgun",82,0,0,0,35,1105,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Adventure,Casual,Indie,RPG,Strategy",
Briefcase Inc.,0,2.99,,0,0,0,0,5,0,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Family Sharing","Adventure,Indie",
Super Powered Battle Friends,0,12.99,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Workshop,Remote Play on TV,Remote Play Together,Family Sharing","Action,Indie,Early Access",
Invasion: Brain Craving,0,1.99,,0,0,0,0,15,224,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Family Sharing","Action,Adventure,Casual,Indie,RPG,Simulation,Strategy",
Grand Piano Simulator,0,12.99,,0,0,0,0,1,0,"Single-player,Steam Achievements,Family Sharing","Indie,Simulation,Early Access",
Warren The Warlock,0,0,,0,0,0,0,0,0,"Single-player,Partial Controller Support","Casual,Free To Play,Indie",
Hit Tank PRO,0,2.99,,0,0,0,0,0,0,"Single-player,Steam Trading Cards,Family Sharing","Action,Adventure,Casual,Indie,Strategy",
Escort Alia,0,0.99,,0,0,0,0,7,0,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing","Action,Indie",
SUBARACITY,0,4.99,,0,0,0,0,12,0,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing","Casual,Indie",
Damien Crawford's Golf Experience 2022,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Sports,
Husbandry,0,1.99,,0,0,0,0,10,103,"Single-player,Steam Achievements,Family Sharing","Casual,Indie,Simulation",
Hobo Living VR,0,9.99,,0,0,0,0,0,0,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Simulation,Early Access",
Henry's Day,0,9.99,,0,0,0,0,12,0,"Single-player,Steam Achievements,Family Sharing",Adventure,
CubeRace,0,0.99,,0,0,0,0,36,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Family Sharing","Action,Indie,Racing,Simulation",
Sparkle ZERO,0,1.94,,0,0,0,0,11,165,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Action,Indie,Simulation",
Pico Link,0,0,,0,0,0,0,0,0,,Utilities,
Movavi Video Suite 2024 Steam Edition,0,49.99,,0,0,0,0,0,0,,"Animation & Modeling,Audio Production,Design & Illustration,Photo Editing,Software Training,Utilities,Video Production",
Hotel Simulator 2024,0,15.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Casual,Simulation,Strategy,Early Access",
I Hate Balloons VR,0,8.99,,0,0,0,0,0,0,"Single-player,VR Only,Family Sharing","Casual,Indie,Sports",
YOKO,0,10.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Indie,Strategy",
ç¥›é­…Â·æ ¼å¿ƒï¼ˆç¥›é­…3ï¼‰,0,0.74,,0,0,0,0,15,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing","Indie,RPG",
Cold Call,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Indie,Strategy",
Kayak VR Playtest,0,0,,0,0,0,0,0,0,VR Only,,
The Mercury Man,0,3.99,,0,0,0,0,45,556,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie",
Find Up!,0,0,,0,0,0,0,7,0,"Single-player,Steam Workshop,Steam Cloud,Includes level editor","Casual,Free To Play",
Extreme Car Drift Simulator,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Indie,Racing,Simulation,Sports",
Lovebugz: An Anthro Insect Dating Sim,0,2.99,,0,0,0,0,7,0,"Single-player,Steam Achievements,Family Sharing","Casual,Indie,Simulation",
Clown House (PalyaÃ§o Evi),0,0,â€œIâ€™ve never been afraid of clowns until this gameâ€ CGMagazine,0,0,0,0,0,0,Single-player,"Action,Free To Play,Indie",
Super Pet Hero,0,2.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Casual,
Cat N Can,0,5.99,,0,0,0,0,9,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie,Strategy",
Industry Transporters,0,9.99,,0,0,0,0,27,0,"Single-player,Steam Achievements,Stats,Includes level editor,Family Sharing","Simulation,Strategy,Early Access",
Swoosh,0,3.99,,0,0,0,0,9,0,"Single-player,Family Sharing","Casual,Indie",
FlickerMAZE,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie",
From Village to Empire,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Workshop","Indie,Strategy,Early Access",
Omega-Altro,0,1.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Action,Adventure,Indie",
Snow Plowing Simulator - First Snow,0,0,,0,0,0,0,0,0,Single-player,"Adventure,Casual,Indie,Simulation,Strategy",
